id1,law_democracy,law_democracy_combined,law_democracy_note,law_democracy_rank,religion_state,religion_state_combined,religion_state_note,religion_state_rank,directors,directors_combined,directors_note,directors_rank,green_social,green_social_combined,green_social_note,green_social_rank,jewish_arab,jewish_arab_combined,jewish_arab_note,jewish_arab_rank,cost_of_living,cost_of_living_combined,cost_of_living_note,cost_of_living_rank,peace_security,peace_security_combined,peace_security_note,peace_security_rank,negev_galil,negev_galil_combined,negev_galil_note,negev_galil_rank,next_generation,next_generation_combined,next_generation_note,next_generation_rank,human_rights_territories,human_rights_territories_combined,human_rights_territories_note,human_rights_territories_rank,education,education_combined,education_note,education_rank,gender_equality,gender_equality_combined,gender_equality_note,gender_equality_rank
נדאל מסאלחה,60,62.4,עורך דין; השתתפות במפגשי ציבור בנושאי דמוקרטיה ושוויון; פעילות מפלגתית עקבית בנושא.,0,20,34.4,חיפוש עמוק: מפגש ציבורי על 'ביטול הקשר בין ממסד דתי לשלטון' — עוגן נקודתי.,0,20,34.4,חיפוש עמוק: פעילות ציבורית ומפלגתית; נאום בהפגנה — ללא תפקיד ניהולי רשמי.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,60,60,ערבי-ישראלי פעיל במפלגה ציונית-ליברלית; השתתפות במפגש על 'שותפות ותקווה'; עמדות ציבוריות על שוויון אזרחי.,14,20,20,חיפוש עמוק: התבטאות בוועדת כנסת על השלכות הפשיעה על יציבות כלכלית — עוגן עקיף.,0,40,40,חיפוש עמוק: דיון בכנסת על פשיעה בחברה הערבית; מפגש על ביטחון; נאום בהפגנה.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,40,40,חיפוש עמוק: התבטאות בוועדת כנסת על צעירים עוברי חוק וכשל מערכתי — עוגן חלקי.,0,0,0,,0,0,0,,0,0,0,,0
מורן זר כצשטיין,80,80.6,"מייסדת ויו""ר 'בונות אלטרנטיבה'; ממובילות המחאה נגד הרפורמה המשפטית; נאומים בהפגנות מרכזיות (קפלן 2024, הבימה 2026).",17,80,80.6,"חיפוש עמוק: מאמר בנושא 'היהדות האמיתית', ראיון עומק בפודקאסט על כפייה דתית, נאומים על הדרת נשים, הצטרפות למפלגה עם מצע נישואים אזרחיים.",7,80,80.6,"ייסוד וניהול עמותת 'בונות אלטרנטיבה'; לשעבר קצינה בצה""ל ועובדת שב""כ; מנהיגות אזרחית מוכחת.",12,40,40,חיפוש עמוק: כנס תחבורה ציבורית 2024; ביקורת על מדיניות שמורות טבע — עיסוק עקיף.,17,20,20,חיפוש עמוק: הצהרת עמדה כללית באתר הבית; אין עוגנים ייעודיים לפעילות.,0,60,60,"חיפוש עמוק: מאמר בכלכליסט על נשים ותוצר, תוכנית 'בונות כלכלה' לעסקים של נשים, מסמכי עמותה על עצמאות כלכלית.",12,60,60,"חיפוש עמוק: מאמרים על חוק הגיוס ונשים בצה""ל; מאמר ב-ynet על זכויות נשים וביטחון; נאום בעצרת מחאה.",22,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,0,0,,0,20,38.6,"הוראה במכללה למנהל, ללא מדיניות חינוך",16,100,100,"מייסדת תנועת ""בונות אלטרנטיבה"" וקואליציית ארגוני הנשים; ממובילות מאבק הנשים בעשור האחרון",3
נאווה רוזוליו,100,93.4,מייסדת 'משמרות הבושה' (מרץ 2023); סמל המחאה הדמוקרטית; עוצמת נוכחות ציבורית יוצאת דופן בהגנת שלטון החוק.,7,80,79.4,הצהרה פומבית על הפרדה מוחלטת דת-מדינה; פעילות ממוקדת בנושאי שוויון דתי ואישיות.,13,60,65.4,"חיפוש עמוק: ייסוד 'משמרות הבושה', ראיונות עומק מרובים, השתתפות בוועדות כנסת, פאנלים ציבוריים עם ח""כ.",0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,40,40,חיפוש עמוק: הצהרת תמיכה בשותפות מלאה בראיון; נאום בהפגנה 'למאבק אזרחי יהודי-ערבי' — עמדה חלקית.,19,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,60,60,"חיפוש עמוק: מאמר דעה נגד בנייה ב-E1; מאמר על חטופים ולגיטימיות המלחמה; ציטוט הרמטכ""ל — עמדה ביטחונית ברורה.",23,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,0,0,קובץ ערר לא כלל ציון — שמור על הערכה מקורית.,0,0,0,,0,0,0,,0,30,30,הובלה ציבורית,0
ענבל וורטמן שהם,80,80.6,חיפוש עמוק: נאום בהפגנה בחיפה נגד חקיקה מחלישת בית המשפט; מאמר 'החצר האחורית' על כשלי שלטון; השתתפות באירוע 'הפיכה משטרית'.,18,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,80,80.6,חיפוש עמוק (חיצוני): ניהול עמותת רווחה; מאמרי מדיניות; מפגשי 'מהקהילה למדינה'; פריימריז (3→4).,13,20,20,חיפוש עמוק: פעילות חברתית ענפה ברווחה ומוגבלות; ללא עוגן סביבתי מובהק — זיקה חברתית בלבד.,0,60,60,"ערר + עוגן אישי: מפגש פוליטי עם עו""ד גאלב סלאמנה בעמוקה; מסמך מדיניות על אלימות במגזר הערבי (1→3).",15,40,40,"ערר + עוגן אישי: מאמרי 'מדינת רווחה נסוגה' — ביטחון כלכלי עקיף, לא יוקר מחיה ישיר (1→2).",21,60,60,חיפוש עמוק: נאום בהפגנה לשחרור חטופים; מפגש על 'עתיד אזורים מופגזים'; מאמר על ביטחון חברתי כביטחון.,24,100,100,"עוגן זהותי-פריפריאלי מובהק: 'קול הצפון', מגורים בצפון, נוכחות מגינה בבקעה, פעילות רווחה בגליל-גולן (לוטם יניב); ליבת הפרופיל (3→5).",1,80,80,חיפוש עמוק: מאמר על דור שגדל ללא אלטרנטיבה רעיונית; ייסוד עמותת 'אבני דרך לחיים' לצעירים אוטיסטים; ריאיון עומק ופעילות עמותה עקבית.,4,70,70,"נוכחות מגינה בבקעת הירדן, ליווי קהילות רועים, תיעוד מגוף ראשון",5,20,38.6,זיקה הצהרתית לחינוך ציבורי כשוויון הזדמנויות.,17,40,40,ארגון והקמה,0
אומיימה חאמד,40,51.4,שמור על הערכה מקורית — חיפוש עמוק לא מצאה עוגנים נוספים; פעילה במרצ עם זיקה כללית לנושא.,0,40,51.4,שמור על הערכה מקורית — חיפוש עמוק לא מצאה עוגנים ממוקדים בתחום.,24,40,51.4,שמור על הערכה מקורית — חברת ועידה והנהלת מרצ; חיפוש עמוק לא מצאה עוגנים ממוקדים.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,40,40,שמור על הערכה מקורית — עורכת דין ערביה-ישראלית במרצ; הצהרות עמדה על חיים משותפים.,20,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,40,40,שמור על הערכה מקורית — חיפוש עמוק החזירה קובץ ריק; ציון מקורי נשמר.,0,0,0,,0,0,0,,0,20,20,עשייה בשטח,0
גאלב סלאמנה,60,65.4,"סיוע משפטי התנדבותי לעצורי המחאה; ראיונות על 'מעצרים פוליטיים'; השתתפות במפגש 'הפיכה משטרית'; (ערר, 2→3).",0,80,79.4,"חיפוש עמוק: ראיון עומק בפודקאסט 'החופש לבחור' על זהות מוסלמית, דת ושירות צבאי; תפקיד רשמי בגוף מפלגתי; פעילות ציבורית על 'מדינה שוויונית לכולם'.",14,80,79.4,חיפוש עמוק: רכז מיעוטים בדמוקרטים הצעירים (תפקיד רשמי); ראיונות עומק מרובים; ניהול מערך עוטף עצורים; מפגשי ציבור.,18,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,100,100,"עורך דין ערבי-מוסלמי ששירת בצה""ל; מגן על עצורי המחאה היהודית; מינוי רשמי לרכז מיעוטים בדמוקרטים הצעירים; מפגשי ציבור על 'חיים משותפים'.",1,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,60,60,חיפוש עמוק: מפגש ציבורי על שלום יהודי-ערבי; התבטאות על חוסר משילות ואלימות בחברה הערבית; שירות צבאי בעבר.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,60,60,חיפוש עמוק: התבטאות בוועדת כנסת על קיצוץ תקציבים לצעירים ערבים; תפקיד בתנועת הצעירים; ראיון על פחד הורים בחברה הערבית.,15,0,0,,0,0,0,,0,0,0,,0
איהאב שליאן,60,66.6,"חיפוש עמוק: פעילות בנושאי זכויות אזרח ושלטון חוק בהקשר הערבי-ישראלי; (ערר, 0→3).",0,80,80.6,"חיפוש עמוק: פעילות ציבורית בנושאי זהות ודת בחברה הערבית; ראיונות על יחסי דת-מדינה בהקשר מיעוטים; (ערר, 2→3.5→4).",8,80,80.6,"תפקידי ניהול ציבורי ומקצועי מתועדים; ייצוג קהילתי ומוסדי; (מקורי, ללא ערר).",14,0,0,לא נמצאו עוגנים בתחום.,0,60,60,"חיפוש עמוק: פעילות לחיזוק הקשר היהודי-ערבי; מעורבות בגישור קהילתי; (ערר, 1→2.5→3).",16,0,0,לא נמצאו עוגנים בתחום.,0,40,40,"פעילות ציבורית בנושאי אזרחות ושלום בחברה הערבית; (מקורי 2, NEVER LOWER).",0,20,20,"קשרים וזיקה לפיתוח האזורי; (מקורי 1, NEVER LOWER).",15,60,60,"חיפוש עמוק: מעורבות בנושאי צעירים בחברה הערבית; פעילות חינוכית וקהילתית; (ערר, 1→2.5→3).",16,0,0,,0,40,52.6,ראיונות ופעילות בנושא תקצוב מערכת החינוך הנוצרית.,10,60,60,ארגון והקמה + הובלה ציבורית,0
מאלק בדר,20,21.5,"חיפוש עמוק: עוגן ראשוני בנושא שלטון חוק; (ערר, 0→1).",0,0,0,לא נמצאו עוגנים בתחום.,0,0,0,לא נמצאו עוגנים בתחום.,0,0,0,לא נמצאו עוגנים בתחום.,0,0,0,לא נמצאו עוגנים בתחום.,0,0,0,לא נמצאו עוגנים בתחום.,0,20,20,"חיפוש עמוק: עוגן ראשוני בנושאי ביטחון וסדר ציבורי; (ערר, 0→1).",0,0,0,לא נמצאו עוגנים בתחום.,0,0,0,לא נמצאו עוגנים בתחום.,0,0,0,,0,0,0,,0,0,0,,0
מהרטה ברוך רון,40,52.6,"פעילות ציבורית בנושאי ממשל ושלטון; (מקורי 2, NEVER LOWER).",0,20,38.6,"זיקה ראשונית לנושאי חופש ודת; (מקורי 1, NEVER LOWER).",0,80,80.6,"תפקידי ניהול בכיר מתועדים; ניסיון בדירקטוריון ובהנהגה ציבורית; (מקורי, ללא ערר).",15,40,40,"זיקה לנושאים חברתיים-סביבתיים; (מקורי 2, NEVER LOWER).",18,0,0,לא נמצאו עוגנים בתחום.,0,60,60,"חיפוש עמוק: פעילות בנושאי ביטחון כלכלי ופיתוח; (ערר, 0→3).",13,40,40,"זיקה לנושאי ביטחון לאומי; (מקורי 2, NEVER LOWER).",0,80,80,"חיפוש עמוק: פעילות מוכחת בפיתוח הנגב; קשרים מוסדיים ועסקיים באזור; (ערר, 0→3.5→4).",6,20,20,"זיקה ראשונית לנושאי הדור הבא; (מקורי 1, NEVER LOWER).",0,0,0,,0,0,0,,0,80,80,"מנכ""לית עמותת 51 לשוויון מגדרי; פועלת להגדלת מספר הנשים במוקדי קבלת החלטות ובמוקדי כוח",10
איילת השחר סיידוף,80,80.6,"חיפוש עמוק: פעילות מובהקת בנושאי שלטון חוק ודמוקרטיה; מעורבות ציבורית מתועדת; (ערר, 0→4).",19,80,80.6,"חיפוש עמוק: פעילות מובהקת בנושאי הפרדת דת-מדינה וחופש הפרט; (ערר, 0→4).",9,80,80.6,"חיפוש עמוק: תפקידי הנהגה ציבורית מתועדים; ניהול ארגונים ויוזמות; (ערר, 0→4).",16,0,0,לא נמצאו עוגנים בתחום.,0,0,0,לא נמצאו עוגנים בתחום.,0,20,20,"חיפוש עמוק: עוגן ראשוני בנושא יוקר המחיה; (ערר, 0→1).",0,80,80,"חיפוש עמוק: פעילות בנושאי שלום וביטחון; מעורבות בשיח הביטחוני-מדיני; (ערר, 0→4).",12,0,0,לא נמצאו עוגנים בתחום.,0,20,20,"חיפוש עמוק: עוגן ראשוני בנושאי צעירים; (ערר, 0→1).",0,0,0,,0,60,66.6,מובילת אימהות בחזית וחזית חינוך; נוכחות בוועדת החינוך בכנסת.,6,90,90,"מייסדת תנועת ""אימהות בחזית""; קידמה שוויון בחובת השירות הצבאי ופעלה לחקיקה שוויונית בין נשים לגברים",6
אמיר חניפס,80,79.7,"חיפוש עמוק: פעילות מובהקת בשלטון חוק; מעורבות ציבורית ומשפטית מתועדת; (ערר, 0→3.5→4).",20,80,79.7,"חיפוש עמוק: פעילות ציבורית בנושאי חופש דת ומדינה; עמדות עקרוניות מתועדות; (ערר, 0→4).",11,80,79.7,"חיפוש עמוק: תפקידי הנהגה ציבורית וניהול; ניסיון מנהיגותי מתועד; (ערר, 0→4).",17,20,20,"חיפוש עמוק: זיקה ראשונית לנושאים חברתיים-סביבתיים בהקשר מגזרי; (ערר, 0→1).",0,0,0,קובץ ערר ריק — שמירה על מקורי 0.,0,60,60,"חיפוש עמוק: פעילות בנושאי יוקר המחיה והביטחון הכלכלי; (ערר, 0→3).",14,80,80,"חיפוש עמוק: פעילות ממוקדת בנושאי שלום וביטחון; עמדות מדיניות מתועדות; (ערר, 0→4).",13,60,60,"חיפוש עמוק: זיקה לפיתוח האזורי בנגב ובגליל; (ערר, 0→3).",8,40,40,"חיפוש עמוק: עוגן בנושאי הדור הבא; (ערר, 0→2).",0,0,0,,0,20,37.7,"רקע אקדמי (דוקטורט), ללא עמדות חינוך",18,10,10,הובלה ציבורית,0
קטי פיאסצקי,0,0,לא נמצאו עוגנים בתחום בתקופת ההתייחסות.,0,0,0,לא נמצאו עוגנים בתחום.,0,0,0,לא נמצאו עוגנים בתחום בקריטריונים המוגדרים.,0,40,40,"חיפוש עמוק: תיק איכות הסביבה ובעלי החיים בעיריית בת ים; (ערר, 0→2).",19,0,0,לא נמצאו עוגנים בתחום.,0,60,60,"חיפוש עמוק: פעילות בנושאי יוקר המחיה; קידום מדיניות כלכלית ברמה המוניציפלית; (ערר, 0→2.5→3).",15,60,60,"חיפוש עמוק: פעילות בנושאי ביטחון וסדר ציבורי; (ערר, 0→2.5→3).",0,0,0,לא נמצאו עוגנים בתחום.,0,80,80,"חיפוש עמוק: יו""ר ועדת זכויות הילד; קידום חקיקה לצעירים; ניהול דיוני ועדה בנושאי ילדים ובני נוער; (ערר, 0→4).",5,0,0,,0,20,34.4,זיקה אידאולוגית כללית לאזרחות דמוקרטית-חילונית.,21,40,40,הובלה ציבורית,0
רותם סיון הופמן,80,79.4,"חיפוש עמוק: פעילות מובהקת בנושאי שלטון חוק ודמוקרטיה; עמדות ציבוריות מתועדות; (ערר, 0→3.5→4).",23,0,0,לא נמצאו עוגנים בתחום.,0,80,79.4,"חיפוש עמוק: תפקידי ניהול ציבורי ומנהיגות מתועדים; (ערר, 0→3.5→4).",19,0,0,לא נמצאו עוגנים בתחום.,0,0,0,לא נמצאו עוגנים בתחום.,0,0,0,לא נמצאו עוגנים בתחום.,0,80,80,"חיפוש עמוק: פעילות ממוקדת בנושאי שלום וביטחון לאומי; (ערר, 0→4).",14,0,0,לא נמצאו עוגנים בתחום.,0,60,60,"חיפוש עמוק: פעילות בנושאי הדור הבא; מעורבות בנושאי צעירים; (ערר, 0→3).",17,0,0,,0,20,37.4,חינוך לאזרחות וערכים דרך מאבק אמא ערה.,20,40,40,משולב,0
רם שפע,0,0,לא נמצאו עוגנים בתחום בתקופת ההתייחסות (כהונת כנסת הסתיימה נובמבר 2022).,0,20,38.6,"חיפוש עמוק: השתתפות בפאנל 'הכרעה חינוכית' בכנס קרן ברל; דיון בחינוך ממלכתי מול חינוך דתי; (ערר, 0→1).",0,60,66.6,"חיפוש עמוק: ניהול מאמצי שיקום מורכבים; ראיונות עומק על מנהיגות בתקופת מלחמה; (ערר, 0→3).",0,40,40,"חיפוש עמוק: שיקום חברתי-קהילתי של קיבוצי הנגב המערבי; (ערר, 0→2).",20,0,0,לא נמצאו עוגנים בתחום.,0,40,40,"חיפוש עמוק: שיקום כלכלי של קהילות עוטף עזה; ביטחון כלכלי ממוקד גיאוגרפית; (ערר, 0→2).",22,60,60,"חיפוש עמוק: מינוי לפרויקטור שיקום קיבוצי עוטף עזה מטעם התנועה הקיבוצית; ראיונות על חזרת תושבים וחוסן לאומי; (ערר, 0→3).",0,0,0,קובץ ערר ריק — שמירה על מקורי 0.,0,0,0,פעילותו בנושא צעירים הייתה לפני תקופת ההתייחסות; לא נמצאו עוגנים ב-2023-2026.,0,0,0,,0,100,94.6,"יו""ר ועדת החינוך, יו""ר התאחדות הסטודנטים, עמדת שכר מורים",1,30,30,הובלה ציבורית,0
חנן זיסו,80,76.4,פעיל במחאה נגד הרפורמה המשפטית; מועמד מפלגת הדמוקרטים; תפיסה דמוקרטית מנומקת — הכרה בסמכות נבחרת תוך התנגדות עקרונית.,0,40,48.4,חיפוש עמוק: הנחה ועורר שולחן עגול בכנס הדמוקרטים בנושא דת ומדינה — עוגן נקודתי אחד.,0,60,62.4,חבר מועצת קרית טבעון לשעבר; בעלים ומנהל משרד תקשורת והפקות; ייעוץ אסטרטגי לקמפיינים פוליטיים.,0,40,40,פעל לקדם אינטרסים סביבתיים של קרית טבעון; פעילות חברתית בפורום מיכל סלה למניעת אלימות נגד נשים.,21,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתחום בתקופת ההתייחסות.,0,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתחום.,0,40,40,פעיל במטה משפחות החטופים — זיקה אזרחית-אנושית. אין עמדת מדיניות ביטחונית מתועדת.,0,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתחום.,0,60,60,"מורה, מחנך ומנהל חינוך ותרבות — שנים רבות של עבודה עם נוער בסיכון ואוכלוסיות מוחלשות. זיקה מתמשכת לתחום.",18,0,0,,0,60,62.4,"ניסיון מקצועי בחינוך נוער בסיכון, קמפיינים חינוכיים",8,20,20,הובלה ציבורית,0
עמרי רונן,100,91.6,מוביל בולט של מחאת 'אחים ואחיות לנשק' נגד הרפורמה המשפטית; עורך דין; מועמד מפלגת הדמוקרטים — שלטון החוק הוא ציר מרכזי ועקבי בכל פועלו הציבורי.,8,0,0,"לא אותרו עמדות מוצהרות בסוגיות ספציפיות — נישואים אזרחיים, שבת, גיוס חרדים או מעמד הרבנות.",0,60,63.6,הובלת תנועת מחאה אזרחית רחבה; ייסוד-שותף עמותת 'יהב – מחנכים לציונות'; ניהול הליכים משפטיים מורכבים. ניסיון הובלה ציבורית — לא ניהולי-ממסדי.,0,0,0,"פעילות חברתית מובהקת, אך לא אותר עיסוק או התבטאות בנושאי סביבה, משבר אקלים או קיימות.",0,0,0,לא אותרה פעילות או התבטאות ממוקדת בנושא יחסי יהודים וערבים בישראל.,0,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתחום. פעילות בפרקליטות המדינה (כלכלית-שחיתות) לא הותירה ביטוי פומבי ממוקד ביוקר המחיה.,0,0,0,"קצין מילואים בדרגת סרן, אך שירות צבאי אינו תחליף לעמדה ביטחונית-מדינית סדורה. לא אותרה עמדה מפורשת בנוגע לסכסוך הישראלי-פלסטיני.",0,0,0,לא אותר עיסוק בנושאי פריפריה גיאוגרפית.,0,40,40,"ייסד 'יהב – מחנכים לציונות' לחינוך ציוני בקרב צעירים; שיח ציבורי עקבי על חשיבות הדור הצעיר ומאפייניו — 'דור מצוין, מוכשר, אמיץ וערכי'.",0,0,0,,0,40,49.6,"עמותת 'יהב' לחינוך ציוני, פעילות ערכית",12,10,10,אין,0
אחסן חלאילה,20,31.4,חבר במפלגה שמציבה את הדמוקרטיה ושלטון החוק במרכז; אין הצהרות אישיות מפורטות בנושא.,0,0,0,לא אותרו עמדות מוצהרות בסוגיות ספציפיות.,0,0,0,הופעות תקשורתיות ומועמדות פוליטית — אך לא תועד ניסיון ניהולי פורמלי ברמה מוסדית.,0,0,0,לא אותרו עמדות סביבתיות ספציפיות.,0,100,100,איש חינוך ערבי-ישראלי שנאם בתקשורת הארצית על אזרחות משותפת ואהבת המדינה; מועמד במפלגת הדמוקרטים המגדירה שותפות יהודית-ערבית כעקרון מרכזי. זהותו האישית והמסר שלו מהווים ביטוי חי לנבחרת זו.,2,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים קונקרטיים בתחום.,0,40,40,דגש על ביטחון אישי ותנועה חופשית בין יישובים יהודיים וערביים — 'תנו לנו לחזור לחיים'. מדיניות ביטחון-ביטחונית מפורטת לא תועדה.,0,0,0,לא אותר עיסוק בנושאי פריפריה גיאוגרפית.,0,40,40,איש חינוך במקצועו; שיח ציבורי על הדור הצעיר ועל הצורך בחיים נורמליים עבורו. אין תיעוד על יוזמות חינוכיות רחבות ספציפיות.,0,0,0,,0,40,45.4,"מוצג כ'איש חינוך', ללא מדיניות ספציפית",13,10,10,אין,0
בנימין מיניץ',60,52.5,מועמד במפלגת הדמוקרטים המגדירה שלטון החוק כעקרון יסוד; כרב פלורליסטי פועל למען חברה דמוקרטית.,0,100,80.5,"ליבה מובהקת: רב אורתודוקסי-פלורליסטי, יו""ר מועצת הרבנות הרפורמית בישראל, פועל לגישור בין יהדות ומדינה ליברלית.",10,80,66.5,"יו""ר מועצת הרבנות הרפורמית בישראל — מסגרת הנהגתית מוכחת.",0,60,60,השתתפות בשבוע הצדק החברתי 2026; זיקה ערכית לצדק חברתי.,11,0,0,פעיל ביפו — עיר מעורבת — אך ללא עוגן תיעודי ישיר לפעילות שותפות.,0,0,0,לא נמצאו עוגנים קונקרטיים בתחום זה.,0,40,40,שיוך מפלגתי כללי; אין עמדות ביטחוניות ספציפיות מתועדות.,0,0,0,לא נמצאו עוגנים בתחום זה.,0,60,60,עיסוק קהילתי ורבני עם דגש על חינוך ועתיד הדמוקרטיה.,19,0,0,,0,0,0,,0,10,10,הובלה ציבורית,0
ערן ניסן,80,79.4,,24,20,37.4,ערר: זיקה עקיפה דרך מאבק בימין דתי-קיצוני,0,60,65.4,,0,0,0,,0,80,80,,8,40,40,,23,100,100,,6,0,0,,0,60,60,,20,10,10,קמפיינים דיגיטליים; אין ראיות לפעולת שטח,0,60,65.4,מנהל מחלקת חינוך והסברה ב'שלום עכשיו',7,20,20,הובלה ציבורית,0
אביתר באר,20,14,השתתפות בפריימריז של הדמוקרטים כסיגנל עקיף; אין הצהרה ישירה בנושא,0,0,0,,0,20,14,ניהול חוות בודדים ברמת הנגב — עוגן ניהולי פרטי ולא ציבורי,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,40,40,"איש נגב ומנהל חוות בודדים ברמת הנגב; זיקה ישירה לאזור, ללא מדיניות מפורשת",12,0,0,,0,0,0,,0,0,0,,0,0,0,,0
דימה שפירא,60,42,,0,20,14,,0,40,28,ייסוד/הובלת קבוצת פעילים פנים-מפלגתית; ציר בוועידת הדמוקרטים,0,40,40,,22,40,40,,21,40,40,,24,40,40,,0,40,40,,13,40,40,,0,40,40,,8,40,28,,22,0,0,,0
אליס גולדמן,40,28,זיקה עקיפה לשקיפות ומאבק בקשרי הון-שלטון; ללא עוגן מדיניות רחב יותר,0,0,0,,0,20,14,סיגנלים רכים של מעורבות ציבורית; ללא כהונה מוכחת,0,80,80,"פעילות עקבית ומתועדת בסביבה, בריאות הציבור, זכויות בעלי חיים ופיתוח בר-קיימא",5,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
